WEEK 11,,
plow,"# noun. a large piece of farming equipment with one or several curved blades, pulled by a tractor or by animals. It is used for digging and turning over soil, especially before seeds are planted.
– verb. 1. to use snowplow to clean snow from roads
# 2. to dig and turn over a field or other area of land with a plow
– > plowed filed ",
ramp,"# noun. a slope that joins two parts of a road, path, building, etc. when one is higher than the other 
– > Ramps should be provided for wheelchair users.
# 2. a road used for driving onto or off a major road such as a highway
– > a freeway exit ramp",
off-ramp,"# road used for driving off a major road such as an interstate 
– > The driver climbed out of the SUV and took off, running in the direction of a nearby off-ramp.",
"convict, again","# to decide and state officially in court that someone is guilty of a crime
– > He was convicted of fraud.
– > There was not enough evidence to convict her.",
scene again,"# He was charged with drunk driving property damages, causing personal injury, and leaving the scene of accident.",
intoxicant,# noun. technical.  a substance such as alcohol that produce false feeling of pleasure and a lack of control,
intoxicated,"# adjective. formal. under the influence of alcohol or drugs
– > He was arrested for DWI. (= Driving While Intoxicated )
# verb: intoxicate ",
influence,"# idiom: under the influence: having had too much alcohol or drink
– > She was charged with driving under the influence. ",
flee,"# verb. ( verb#2: fled, verb#3: fled ) no passive. to leave a person or place very quickly, especially because you are afraid of possible danger
– > She burst into tears and fled.
– > At that time he had also injured someone and also fled the scene.",
for good,"# permanently 
– > I would like an excuse to get rid of him for good.
– > This time she is leaving for good. (= she will never return )
– > The only time we can get them off the streets for good is when they kill someone.",
,,
lesson,# 52. Boy Drowns in Neighbor’s Pool,
,,
wander,"# verb. to walk slowly at or to a place, often without particular sense of purpose or direction 
– > Hunter Smith, 5, drowned in a swimming pool after apparently wandering away from two teenagers one of whom was his babysitter.
# 2. to move away from the place where you should be or the people you are with | synonym: stray ",
whom,"# formal. used instead of ‘who’ as the subject of a verb or preposition 
– > Whom did they invite?
– > To whom should I write?
– > The author whom you criticized in you review has written a reply.",
revive,"# to become or to make someone/something become conscious or healthy and strong again
– > The flowers soon revived in water.
– > The company is beginning to revive. 
– > Paramedics and hospital staff members spent several hours trying to revive Hunter.",
unfortunate,"# adjective. 1. having bad luck; caused by bad luck | synonym: unlucky 
– > He was unfortunate to loss in the final round.
– > It was an unfortunate accident. 
– > The boys’s parents had no comment about their son’s unfortunate death.",
voluntary,"# done willingly; no because you are forced
– > a voluntary agreement
– > Attendance at the meetings is purely voluntary.",
involuntary,"# 1. an involuntary movement, etc in made suddenly, without intending to to being able to control 
– > an involuntary cry of pain | antonym: voluntary 
– > Charges might be filed against the teens for involuntary manslaughter and against neighbor fro leaving the gate to the pool unlocked.",
manslaughter,"# law. the crime of killing someone illegally but not deliberately
– > The charge has been reduced to manslaughter.",
,,
lesson,# 53. Woman Dies in House Fire,
,,
cessation,"#  formal. the stopping of something; a pause in something
– > Se we went to a smoking cessation clinic.",
behind my back,# At least I thought we both did. I cannot believe she was smoking behind my back.,
,,
authority,"# 1. the power to give orders to people
– >  in a position of authority 
– > She now has authority over the people who used to be her bosses.
# 6. { expert } a person with special knowledge  | synonym: specialist 
– > She is an authority on chemical law.
– > Authorities took him to a nursing home where he could kept under surveillance.",
surveillance ,"# the act of carefully watching a person suspected of a crime or a place where a crime be committed | synonym: observation 
– > The police are keeping the suspects under constant surveillance.
– > surveillance cameras/equipment ",
spouse,"# law. formal. a husband or wife
– > Fill in your spouse’s name here.
– > We had too many instances of long-time married couples who, if they discover their spouse is dead, commit suicide within 48 hours.",
erratic,"#  not happening at regular time, not following as plan or regular pattern, that you cannot rely on | synonym: unpredictable 
– > Mr. Cass behavior has been erratic from talking nonstop to crying to staring vacantly.",
vacant,"# adjective. 1. ( of a seat, hotel, room, house, etc ) empty; not being used  | synonym: unoccupied 
– > vacant properties 
– > a vacant log (= a piece of land in a city that is not being used)
# 3. ( of a look, an expression, etc ) showing no sign that the person is thinking of anything
–  a vacant look
# adverb: vacantly 
– > to stare vacantly",
,,
lesson,# 54. Pilot killed as Plane Crashed into House,
,,
wreck,"# to damage or destroy something 
– > The mob wrecked twenty-four cars.
– > That part of the house was wrecked.",
crash thesaurus,"# crash (somewhat informal) to hit an object or another vehicle, causing damage 
– > I was terrified that that place would crash.
# slam (something) into/against someone/something: to crash into something with a lot of force
– > The car skidded and slammed into a tree.
# collide: (somewhat formal) (of two vehicle or people) to crash into each other
– > The car and the van collided head-on thick fog.
# smash: (somewhat informal) to crash into something with a lot of force
– > The thieves smashed a stolen car through the store’s display.",
duck,"# 1. plural: ducks or duck. [C]. a common bird that lives on or near water and has short legs, webbed feet (=feet with thin pieces of skin between the toes) and a wide back.
– > wild duck
# verb. to move your head or body downward to avoid being hit or seen
– > He had to duck as he came through the door.
– > We all ducked under the table, thinking it was another earthquake.",
thunder,"# noun. 1. the loud noise that you hear after a flash of lightning, during a storm
# verb. 1. when it thunders, there is a loud noise in the sky during a storm
# 2. to make a very loud deep noise | synonym: roar 
– > A voice thundered in my car.",
thunderous,"# adjective. formal. 1. very loud | synonym: deafening 
– > The immediately called 911 when they discovered the cause of the thunderous sound.",
next of kin,"# your closet living relative or relatives 
– > I am her next of kin.
– > The form must be signed by next the kin.
– > The police will release the pilot’s name after they have notified his next of kin.",
fuel,"# any material that produces heat or power, usually when it is burned
– > solid fuel (= wood, coal, etc )
– > nuclear fuel 
– > a car with high fuel consumption.",
,,
WEEK 12,,
lesson,# 55. Fishing for Girls,
,,
soak,"# to put something in liquid for a time so that it become completely wet
– > I usually soak the beans overnight.
– > If you soak the tablecloth before you wash it, the stain should come out.
# soak something up: 1. to take in or absorb liquid and 2. to absorb something into you senses, your body, your mind 
– > We were just sitting soaking up the atmosphere.
– >> Howard has to planned to lie around the hotel pool, soak up the sun, read a good book, and look at pretty women in their bathing suits.
# soaked: adjective: very vet
– > You will get socked if you go out in this rain.",
little detail,# just example: It was being repaired all the week. The staff has “forgotten” to tell Howard this little detail. ,
Mongolian,"# a person from Mongolian ( a country in Asia )
– > But I did go to a Mongolian all-you-can-eat place and had a good dinner. ",
blow,"# verb. 13. informal. to waste an opportunity 
– > She blew her changes by arriving late for the interview.
– > You had you chance and you blew it.
– >> Well, you blew it. I do not know when you are going to learn to pick up on those signals.",
,,
lesson,# 56. Woman Shot Next to Her Christmas Tree,
,,
shoot,"# verb. { weapon } to fire a gun or other weapon; to fire something from a weapon
– > Do not shoot – I surrender.
– > a serious shooting incident
# verb#2: shot, verb#3: shot
– > A woman decorating her Christmas tree Monday was shot in her left arm when a bullet went through her living room window. ",
incident,"# something that happens, especially something unusual or unpleasant 
– > His bad behavior was just an isolated incident.
– > One particular incident sticks in my mind.
– >> Police said the incident occurred about 5:00 p.m.",
shell,"# the hard outer part of eggs, nuts, some seeds, and some animals 
– > We collect shells on the beach. 
– > snail shells
# 3. a metal case filled with explosive, to be fired form a large gun
– > A shell burst only yards away from us.",
case,"# 7. a container or covering used to protect or store things
– > a pencil case
– > a jewelry case
– >> A .22 caliber shell casing was found across the street form the victim’s home. Police did not find a weapon in the vicinity.",
vicinity,"# noun. ( the vicinity ) the area around a particular place
– > There is no hospital in the immediate vicinity.",
intentional,"# done deliberately | synonym: deliberate, and intended 
– > I am sorry I left you off the list – it was not intentional. # opposite: unintentional 
# adverb: intentionally 
– > She would never intentionally hurt anyone.
– >> They do not know if the shooting was intentional or accidental. ",
accidental,"# happening by chance; not planned
– > I did not think our meeting was accidental – he must have known I would be there.
# adverb: accidentally 
– > As I turned around, I accidentally hit him in the face",
,,
lesson,# 57. Man Fatally Stabbing Outside Nightclub,
,,
fatal,"# 1. casing or ending in death
– > a fatal accident / blow / illness
– > The plan was fatally flawed from the start.
– >> man fatally stabbed outside nightclub",
stab,"# [stab someone] to push a sharp pointed object, especially a knife into someone, killing or injuring them
– > She stabbed him in the arm with screwdriver.
– > A middle-aged man was fatally stabbed outside a nightclub late Saturday night.
# idiom: stab someone in the back: to do or say something that harm someone who trusts you | synonym: betray ",
ice pick,"# a tool with a very sharp point for breaking ice with
– > Police who arrived at the club, found Evans lying in the parking lot with a bloody ice pick on the pavement next to him.",
pavement,"# ( = sidewalk => American ) a flat part at the side of a road for people to walk on
# Advanced American Dictionary: any area of flat stone on the ground",
cradle,"# noun. 1. a small bed for a baby that can be pushed gently from side to side
– > She rocked the baby to sleep in his cradle. 
# idiom: from the cradle to grave: form birth until death
# verb. [cradle someone/something] to hold someone or something gently in your arm to hands
– > The old man cradled the tiny baby in his arms.
– > A sobbing woman was cradling the victim’s head in her lap an stroking his hair.",
custody,"# 1. the legal right or duty to take care or or keep someone/something; the act of taking control of someone/something
# 2. the state of being in prison, especially while waiting for trial
– > After the riot, 32 people were taken into police custody.",
trial,"# noun. a formal examination of evidence in court by a judge and often a jury, to decide if someone accused of a crime is guilty or not
– > a murder trial",
lounge,"# noun. a room for waiting in at an airport, etc
– > the departure lounge 
– > The lounge’s bartender said Haynes started arguing with Evans when she saw him dancing with a young woman.
# verb. to stand, sit, or lie in a lazy way | synonym: laze around
– > Several students were lounging around, reading newspapers.",
bartender,"# ( Br: barmaid ) a woman who works in a bar serving drinks
# 2. barman",
,,
lesson,"# 58. Fishing Boat Sinks, Everyone Saved",
,,
pacific,"# peaceful or loving peace
– >> A 70-foot fishing boat, the SharkCatcher, sank 5 miles from shore today in the pacific at about 4:30 p.m.",
angle,"# noun. the space between two liens or surfaces that join, measuring in degrees 
– > a 45 angle
# verb. 1. [angle something] to move or place something so that is is not straight or not directly facing someone or something
– > He angled his chair so that he could sit and watch her without distracting her.
# 3. [usually] to angling: to catch fish with a line and hook",
aboard,"# o or onto a  ship, plane, bus, or train | synonym: on board 
– > We went on aboard. 
– >  There were 17 anglers aboard and 4 crew members.",
mackerel,"# a sea fish
– > smoked mackerel 
– > There were also about 100 freshly caught tuna, salmon, and mackerel aboard.",
hull,"# noun. the main bottom part of a ship, that goes in the water
– > a wooden / steel hull
– > He told Curly to hold on a minute. Moe’s crew discovered a hole in the hull that was too big for plugs or pumps.",
plug,"# verb. to fill a hole with a substance or piece of material that fit tightly into it
– > He plugged the hole in the pipe with an old rag.
# noun.  a small plastic object with two or three metal pins that connects a piece of electrical equipment to the main supply of electricity.
– > a three-pin plug",
don,"# verb. formal. (nn) to put clothes, etc, on
– > He donned his jacket and went out
# noun. informal. the leader of a group of criminal involved whit the Mafia ",
,,
lesson,# 59. The Mysterious Carport Stain,
,,
carport,"#  a shelter for a car, usually built beside a house and consisting of a roof supported by posts.
– > He was looking at big red dry stain was on the carport where he always parked his car.",
fluid,"# formal. technical. a liquid; a substance that can flow
– > a bodily fluids ( = for example: blood )",
brake fluid,# liquid used in brakes to make the different parts move smoothly,
brake light,# a red light on the back of a vehicle that comes on when the brakes use used,
transmission,"# formal. AW. the act of process of putting something from one person or place to another | synonym: transfer 
# 4. the system in a vehicle by which power passed from the engine to the wheels
– > There was only one thing to do: check his power steering fluid and his transmission fluid, both of which were red.",
shift,"# verb. AW. { move } to move, or move something from one position to place or another 
– > She shifted her weight from one foot to the other.
– > Next, he shifted the transmission through all the gears, and then let the car idle for three minutes in park.",
gear,"# noun. { in vehicle } machinery in a vehicle that turns engine power( or power on a bicycle) into movement froward and backward
– > Careless use of the clutch may damaged the gears.",
idle,"# verb. to spend time doing nothing important 
–  The idles the days away, talking and watching television.
# noun. ( of people ) not working hard. ( == lazy )
– > an idle student",
dipstick,"# a long straight piece of metal used for measuring the amount of liquid in a container, especially the amount of oil in an engine 
– > Then he pulled out the dipstick. The fluid was at the correct level. Dezel breathed a sigh of relief. ",
sigh,"# noun. an act or the sound of sighing 
– > to give / have / let out a sigh
# verb. to take and then let out a long, deep breath that can be heard, to show that you are disappointed, sad, tired, etc
– > He sighed deeply at the thought. ",
wham,"# exclamation: 1. used to represent the sound of a sudden, loud hit
– > The bombs went down – what! – right on target. 
# 2. used to show that something that is unexpected has suddenly happened
– > I saw him yesterday and – wham! – I realized I was still love with him.
– >> Then, wham, out of nowhere, you told me we were through.",
through,"# adjective. 1.2.3. No through road = the road is closed at one end
# 4. used to show that you have finished using something or have ended a relationship with someone 
– > Are you through with the newspapers.
– > Todd and I are through.",
mutter ,"# verb. 1. to speak or say something in a quiet voice that is difficult to hear, especially because you are annoyed about something 
– > How dare she, he muttered under his breath. 
# 2. to complain about something without saying publicly what you think | synonym: grumble 
– > Workers continued to mutter about the management. ",
,,
WEEK 13,,
lesson,# 60. Woman Lise About Winning Lottery,
,,
deduct,"# to take away money, points, etc from a total amount | synonym: subtract 
– > The  point will be deducted for the a wrong answer.",
deduction,"# the process of using information you have in order to understand a particular situation or to find the answer to a problem 
– > He arrived at the solution by a simple process of deduction.
# 2. the process of taking an amount of something, especially money, away from a total; the amount that is taken away
– > deduction from your pay for taxes, etc
– > The ticket was worth $18 million after all deduction. ",
deduce,# to form an opinion about something based on the information or evidence that is available | synonym: infer,
liquor,"# strong alcoholic drink
– >> The real winner of the ticket, Kevin Hayes, 66 presented it a week ago to the liquor store where he had bought it.",
desperation,"# the state of being desperate 
– > In desperation, she called Louise and asked for her help.
– >> She only did this out of desperation. ",
the odd,"# { not regular/often } happening or appearing occasionally; not very regular or frequent | synoynym: occasional 
– > He makes the odd mistake – nothing too serious. ",
,,
lesson,# 61. Victory Dance leads to Death,
,,
abrupt,"# sudden and unexpected, often in an unpleasant way
– > The accident brought his career to an abrupt end.
– > The interview ended abruptly.
– > A basketball game ended abruptly Saturday afternoon when 18-year-old Damon Miller was fatally shot at a recreation center.",
at large,"# idiom: as a whole; in general 
# 2. ( of a dangerous person or animal ) not captured; free
– > Her killer is still at large.
– > The gunman who called himself Ace, ran south on Oak Street after the shooting and remains at large.",
remain,"# [liking verb] to continue to be something; to be still in the same state or condition 
– > to remain silent / standing / stead / motionless
– > Train fares are likely to remain unchanged. ",
remainder,"# [usually: the remainder] the remaining people, things, or time | synonym: the rest
– > I kept some of his book and gave away the remainder.",
remind,"# to help someone remember something, especially something important that they must do
– > I am sorry, I have forgotten you name. Can you remind me?",
reminder,"# something that makes you think about or remember someone or something that you have forgotten or would like to forget.
– > The incident served as a timely reminder of just how dangerous mountaineering can be.",
tie up,"# to keep someone busy so that they have no time for other things
# or: a situation in which something stops working or moving forward 
– > a traffic tie-up
– >> The paramedics did not arrive immediately because they were tied up at a four-car crash a mile away.",
sportsmanlike,"# behaving in a fair, generous and polite way, especially when playing a sport or game
– > a sportsmanlike attitude 
– >> A police officer said that suspect will be charged with “a lot more than unsportsmanlike conduct” when arrested.",
conduct,"# formal. AW. Oxford: 4. to behave in a particular way
# Longman: the way someone behave, especially in public, in their job, etc | synonym: behavior ",
eyewitness ,"# a person who has seen a crime, accident, etc and can describe it afterward
# thesaurus: witness => observe, onlooker, passerby, bystander, eyewitness 
– > Eyewitnesses said Ace is a white 5’11, about 200, with a small scar on his left cheek.",
scar,"# noun. a mark that is left on the skin after a wound has healed
– > a scar on his cheek",
activist,"# a person who works to achieve political or social change, especially as a member of an organization with particular aims 
– > animal right activists",
,,
lesson,# 62. Eat Your Vegetables,
,,
yield,"# longman-dictionary: to produce a result, answer, or piece of information 
– > Our research has only recently begun to yield important result.
# register: in everyday English, people usually say that something produces a result, a profit, etc rather than yields it:
– > Each cow produces almost 20 liters of milk a day.
# in everyday English, people usually say someone gives in to pressures, demands, etc rather than yield to them: 
– > I very much doubt the boss with give in to her demand.
– >> The federal government, displaying even less sense then usual, has yielded to the French fires industry.",
agriculture,"# w2. the science or practice of farming 
– > Department of Agriculture 
– > Frozen French fires – sliced, fired in oil, and then packaged – are now approved as “fresh vegetables” by the US Department of Agriculture. ( USDA )",
petition,"# verb. to make a formal request to someone in authority, especially by sending them a petition
# noun. a written request signed by a lot of people, asking someone in authority to do something or change something 
– > They wanted me to sign a petition against experiments on animals.
– > The French fires industry has been petitioning the USDA for years to get this approval.",
wax,"# noun. 1. a solid substance make of fat or oil and used to make candle, polish, etc.
# verb. 1. to rub a layer of wax into a floor, surface, etc to protect it or make it shine 
– > They say that their products is similar to cucumbers that have a wax coating. ",
beg,"# verb. 1. {ask} to ask for something in an anxious or urgent way, because you want it very much 
– > She begged and pleaded with them until they finally agreed.
# 2.  to ask people to give you food, money, etc usually because you are very poor
– a ragged child begging from passing shoppers 
# idiom: beg to differ: spoken formal. used to say firmly that you do not agree with something that has been said
– > I must beg to differ on this point.
– > Most consumers, of course, beg to differ.",
lobby,"# noun. 1. a wide passage or large hall just inside the entrance or a public building | synonym: foyer
– > a hotel lobby
# noun. 4. an attempt to persuade a government to change a law, make a new law, etc
– > a mass lobby of Parliament by women’s organization 
# verb. 1. to try to persuade the government or someone with political power that a law or situation should be changed ( lobby for / against )
– > The group is lobbying for a reduction in defence spending. 
# lobbyist. noun. 
– > I wish I were a lobbyist, so my congressman wold help me.",
congressman,"# a man who is a member of a congress, especially the US House of Representative 
# thesaurus: politician, stateman, senator, ",
congress,"1. a formal meeting of representative of different groups, countries, etc to discuss ideas, make decision,etc
– > a congress of the ruling Labor Party
# 2. the group of people elected to make laws in the US, consisting of the Senate and the House of Representative 
– > The President has lost the support of Congress.",
defend,"# S3. W3. to do something in order to protect someone or something from being attacked 
– > a struggle to defend our homeland 
# in everyday English, people usually say [stand up for] someone rather than [defend] someone
– > She was the only person who stand up for me at the meeting. 
# thesaurus [defend]: stand up for someone/something, stick up for someone(informal), come to someone’s defence( British English)",
defence,"# British: Defense and American: Defence. 
# the act of protecting something or someone from attack
# word family: 
# noun. defence/defense, defendant, defender, defensiveness
# adjective: defensiveless/defenceiveless, defenciable, defencive 
# adverb: defencively ",
deny,"# S3. W2. AW. 1. to say that something is not true, or that you do not believe something 
– > I have never denied that there is a housing problem.",
deniable,# adjective. that cannot be denied | opposite: undeniable ,
undeniable,"# true or certain; that cannot be denied 
– > He had undeniable charm. 
– > It is an undeniable fact that crime is increasing.
– >> The USDA defends its decision, saying that potatoes undeniably are vegetables.",
rot,"# (tt) to decay, or make something decay, naturally and gradually | synonym: decompose 
– > rotting leaves 
– > If you let them sit on you countertop for a couple of weeks, a USDA spokesman said, the fires will rot just like all other fresh vegetables.",
advocate,"# formal. Aw. a person who support someone or speaks in favor of someone or of a public plan or action 
– > an advocate for hospital workers 
# verb. to support something publicly 
– > Many experts advocate rewarding you child for good behavior.
– > Consumers advocates say the USDA has totally lost touch with the consumers.",
,,
lesson,# 63. Honk if You Are in a Hurry,
,,
curse,"# ( also: cuss ) [C] a rude or offensive word or phrase that some people use when they are very angry | synonym: oath, swear word
– > He muttered a curse at the other driver.
– > Mark was cursing the driver in front of him because she was creeping along.",
creep,"# ( crept, crept ) 1.( of people or animal ) to move slowly, quietly, and carefully, because you do not want to be seen or heard
– > I crept up the stairs, trying not to wake my parents.
– > I heard someone creeping around the house.",
along,"# adverb. 1. forward 
– > I was just walking along singing to myself.
– > He pointed out various landmarks as we drive along.",
uphill,"# towards the top of a hill or slope | opposite: downhill 
– > He was on a two-lane road that led to the golf course. The road was straight uphill.",
proceed,"# verb. AW. 1. to continue doing something that has already been started, to continue being done
– > We are not sure whether we still want to proceed with the sale.
# 2. to do something after having done something else first | synonym: go on
– > He outlined his plans and then proceeded to explain them in more detail. 
– >> The she looked left and right again. Then she proceeded slowly forward.",
oncoming,"# adjective. coming toward you | approaching 
– > Always walk facing the oncoming traffic. 
– >> Mark did not pass her because there was too much oncoming traffic. ",
at last,"# idiom: at ( long ) last: after much delay, efforts, etc; in the end | synonym: finally
– > At last we are home!
– > At long last the check arrived. 
– >> At last, no one was in front of him.",
round,"# verb. to go around a corner of a building, a bend on the road, etc
– > The boat rounded the tip of the island.
– > We rounded the bend at high speed.
– >> However, as soon as he rounded the first curve, he had to immediately brake for a cement truck crawling up the hill at 5 mph. ",
curve,"# noun. a line or surface that bends gradually; a smooth bend
– > The driver lost control on a curve and the vehicle hit a tree.",
cement,"# a gray ( grey ) powder made by burning “clay” and “lime” that sets hard when it is mixed with water.
# cement is use din building to stick bricks together and made very hard surface 
– > a floor of cement
– > Use a mixture of one part cement to four parts snad.",
tee,"# 1. a flat area on a golf course from which players hit the ball.
– > to drive off from the first tee
– > a tee shot
– > Mark could not believe it. His tee time was 11:45 and it was 11:39.",
clubhouse,"# 1. the building used by a club, especially a sports club
– >> He walked quickly to the clubhouse to tell Mel, the assistant pro, that he had arrived. ",
pro,"# ( plural: pros ) informal. a person who works as a professional, especially in a sport
– > a gold pro
– > a young boxer who is just turning pro",
,,
lesson,# 64. The Man Who Loved Women,
,,
deathbed,"# the bed in which someone is dying / or dies
– > She is on her deathbed. ( =going to die very soon )
– > Grady was rich, but he was 78 and on his deathbed. No amount of money or love could save him now. ",
skirt,"# a piece of clothing for a woman or girl that hands from the wait 
– >> In his youth, Grady had been a major skirt-chaser. No woman was safe from his charm.",
charm,# noun. the power of pleasing or attracting people,
juggle,"# verb. to throw a set of three or more objects such as balls into the air and catch and then throw again quickly
2. to try to deal with two or more important jobs or activities at the same time so that you can fit all of them into your life
– >> He used to juggle three or four girlfriends at a time.",
while lie,"# a harmless or small lie, especially one that you tell to avoid hurting someone
– > Somehow, this little white lie often worked.",
unattached,"# 1. not married or involved in a romantic relationship | synonym: single
– > He was still unattached at the age 34.
– >> He would walk right up to her and say, “You are very attractive. Are you single and unattached?”",
rain check,"# 1. a ticket that can be used later if a game, show, etc is canceled or stopped because of rain
– > If she said yes, but she did not have time just then for coffee, he would get her phone number and ask her for a rain check.",
just then,"# just. adverb. idiom. at the moment. 
– > Just then, someone knocked at the front door.",
tend,"# to be likely  to do something or to happen in a particular way because this is what often or usually happens
– > Women tend to live longer than men.
– > It tends to get very cold here in the winter.
– >> Tending to his dying needs were Didi and Mimi, a pair of 40-year-old twins that Grady had finally “settled down” with.",
settle,"# to put an end to an argument or a disagreement 
# settle down: 1. to get into a comfortable position, either sitting or lying 
– > She settle down in an armchair to watch television.",
,,
WEEK 14,,
lesson,# 65. How to Get out of Jury Duty,
,,
jury,"# a group of member of the public who listen to the facts of a case in a court and decide whether or not someone is guilty of a crime 
– > members of the jury
– > to be / sit / serve on a jury
– > Topping the bad news list for many people who live in Los Angeles in a jury summons.",
summons,"# ( plural: summonses, also citation ) an order to appear in court
– > The police is unable to serve a summons on him.",
jury duty,"# a period of time spent as a member of a jury in court, or attending jury selection where you may or may not be chosen to serve on a jury
– > Many people feel that jury duty is a boring chore and would prefer not doing it.",
felon,"# a person who has committed a felony
– > … if you are over 18 years old, and if you are not a felon, you are eligible for jury duty.",
felony,"# (law)( felonies ) the act of committing a serious crime such as murder or rape; a crime of this type
– > a charge of felony ",
eligible,"# adjective. a person who is eligible for something or to do something is able to have or do it because they have the right qualifications, are the right age, etc.
– > Only those over 70 are eligible fro the special payment.
– > When you are eligible to vote in you country?",
self-employed,"# working for yourself and not employed by a company, etc
– >> … if you are self-employed, you lose your regular income for that time period.",
rerun,"# noun. a television program that is shown again
– > reruns of old TV shows
– >> Even though he was retired and sat around all day watching reruns of old movie, he told his wife  Polly he was not going to be a juror.
# verb. to show a movie, television program, etc again",
interfere,"# to get involve in and try to influence a situation that does not concern you, in a way that annoys other people
– > I wish my mother would stop interfering and let me make my own decision.
– > The police are very unwilling to interfere in family problems.
– >> He hated jury duty and he was not going to let the courts interfere with his retirement. ",
amuse,"# to make someone laugh or smile
– > My funny drawings amused the kids.
– >> Polly asked, both amused and irritated.",
medical,"# adjective. AW. connected with illness and injury and their treatment
– > medical advance / care / research 
– > I have got a better idea. It is a medical excuse.",
dismiss,"# to decide that someone / something is not important and not worth thinking or talking about | synonym: wave aside
– > I think we safely can dismiss their objections. 
– >> It says here that if you have a physical disability, you can be dismissed.",
gas,"# { in vehicle } { also: gasoline } a liquid obtained from petroleum, used as fuel in car engine, etc
– > We need to stop for gas.
# { in stomach } air that you swallow with food or drink; gas that is produced in you stomach or intestines that makes you feel uncomfortable 
– > “No something better than that. I have got gas. It will offend the other jurors and everyone else in the courtroom. ",
offend,"# to make someone feel upset because of something you say or do that is rude or embarrassing 
– > Niel did not mean to offend anyone with his joke.",
whiff,"# a smell, especially one that you only smell for a short time
– > a whiff of cigar smoke
– >> As soon as they get a whiff of my ‘problem’, they will tell me to go home and stay home.",
,,
lesson,# 66. The Way to a Man’s Heart,
,,
decline,"# AW. formal. verb. 1. to become smaller, fewer, weaker, etc
– > Supports for the candidate continue to decline 
# 2. formal. to refuse politely to accept or to do something | synonym: refuse
– > I offered to give them a ride but they declined.
= > Lina would asked Luke if he wanted to watch TV, or play cards or chess, or take a walk around the neighborhood, but Luke always declined.",
shrimp,"# a small shellfish that can be eaten 
= > Tonight she prepared shrimp, fresh green beans, mashed potatoes, and asparagus.",
asparagus,# a plant whose young and green or white stems are cooked and eaten as a vegetable,
gusto,"# noun. enthusiasm and energy in doing something
– > They sang with gusto.
= > Luke ate everything with gusto. ",
bring out,"# 1. to make something appear 
= > Then she brought out her homemade cheesecake with vanilla ice cream for dessert.",
fatten,"# to make something/someone fatter, especially an animal before killing it for food; to become fatter
– > The piglets are taken from the sow to be fattened for market.
= > Luke asked, “Are you trying to fatten me up for something?”",
celery,"# a vegetable with long crisp light greens stems that are often eaten raw
– > a stalk of celery 
= > Every time I come over here, I have to eat celery and lettuce for a week to get back down to my normal weight. ",
exaggerate,"# to make something seem larger, better, worse, or more important that it really is
– > The hotel was really filthy, and I am not exaggerating.
– > He tends to exaggerate the difficulties.
= > “Oh, stop exaggerating, “ Lina replied. “You enjoy every mouthful.”",
mouthful,"# an amount of food or drink that you put in your mouth at one time
– > She took a mouthful of water.
– > Thank you but I could not eat another mouthful.",
