English Level 4,Today is Saturday on January 14th
bumpy,"# (of surface) not even; with as lot of bumps
– > At first the ride was bumpy. Soon enough, she got the hang of it."
get the hang of,"# ( something ) to learn how to do or to use something; to understand something
– > It is not difficult once you get the hang if it."
intense,"# 1. very great; very strong | synonym: extreme 
# 2. serious and often involving a lot of action in a short period of time
– > intense competition 
– > The game was intense."
fist,"# a hand when it is tightly closed with the fingers bent into the palm.
– > John got very angry. He slammed his fist into the computer."
fabric,"# material made by weaving wool, cotton, silk, etc. used for making clothes, curtains, etc. and for covering furniture 
– > They saw long ones, short ones, leather ones, and fabric ones."
weave,"# ( wove woven ) to make cloth, carpet, etc. by crossing the threads or strips across, over and under each other by hand or on a machine called a loom"
seat,"# verb: ( formal ) to give somebody a place to sit; to sit down  in a place
– > Please be seated
– > They all decided to pick a black leather cough that could seat four people."
,
lesson 15,# from 57 to 60
,
crouton,"# a small piece of cold crisp fired bread served in soup or as part of a salad
– > She got tomatoes, lettuce, chicken, and croutons."
brownie,"# chocolate and sometimes nuts and served in small squares 
– > Tara then suggested making brownie for dessert. "
ring sth up,"# to enter the cost of goods, being bought in a shop/store on a cash register by pressing the buttons
– > They were ready for checkout. The cashier rang up all their items. "
frame,"# a structure of plastic or metal that holds the lenses in pair of glasses 
– > The eye doctor tested her eyes out. Samantha picked out a frame."
cone,# a solid or hollow object with a round flat base an side that slope up to a point 
counsel ,"# ( British counsell and US counsel ) to listen and give support or professional advice to somebody who needs help
# 2 (formal)  to advise somebody to do something "
counselor,"# a person who has been trained to advise people with problem, especially personal problem 
– > a marriage guidance counselor
– > The counselor needed a way to cool of the kids."
treat,"# noun: only has one meaning. something very pleasant and enjoyable; especially something that you give somebody or do for them
– > When I was young chocolate was a treat.
– > Let’s go out for lunch – my treat. ( = I will pay for both)
– > All the kids loved the snow cones. It was a success. Everyone enjoyed their treat. "
later on,"# idiom: at the time in the future; after the time you are talking about 
– > I am going out later on.
– > Much later on, she realized what he had meant. 
– > She was mad at herself for falling asleep. Later on, her friend came over."
,
WEEK 4,"# LESSON 16,17,18,19,20"
lesson 16,# from 61 to 64
,
harness,"# a set of strip of leather and metal pieces that is put around a horse’s head and body so that the horse can be controlled and fastened to a carriage, etc.
# 2. above + fastening something to a person’s body or to keep them form moving off or falling 
– > a safety harness 
– > They saw all the wall and harnesses. "
ton,"# (plural tons) a unit of measuring weight in British 2240 pound and in US 2000 pound
# 3. (tons) = a lot informal 
– > All of them had tons of fun.
# compare tonne"
tonne,"# a unit for measuring weight, equal to 1,000 kilograms 
– > a 17-tonne truck "
upward,# adjective: pointing towards or facing a high place | opposite downward 
downward,# adjective: moving or pointing towards a lower level
upwards,"# adverb: (US: upward) 1. towards a higher place or position 
– > Place your hands on the table with the palms facing upwards.
– > They hike upwards."
downwards,"# towards the ground or towards a lower level
– > The garden sloped gently downwards to the river."
grill,"# (British) to cook food under or over a very strong heat
– > Grill the sausages for ten minutes. 
– > They grilled hot dogs."
broil,"# (US) to cook meat or fish under direct heat or over heat metal bars
– > broil chicken"
admire,"# to respect somebody for what they are or for they has done 
– > I really admire your enthusiasm. 
# 2. to look at something and think that is attractive and/or impressive 
– > He stood back to admire his handiwork. 
– > Let’s just sit and admire the view.
– > They hiked upwards. At the top there was a waterfall. They admire the view. It was beautiful. "
,
lesson 17,# from 65 to 68
,
CPR,"# the abbreviation for ‘cardiopulmonary resuscitation’ ( breathing air into the mouth of an unconscious person and pressing on their chest to keep them alive by sending air around their body )
– > Emily had to know how to swim well. She also had to know CPR."
loan,"# to lend something to somebody, especially money
– > The bank is happy to loan money to small businesses. 
– > A friend loaned me $1000.
– > First, he paid off his student loans."
debt,"# 1. a sum of money that somebody owns
– > I need to pay off my debts before I leave the country.
– > he died heavily in dept"
get to do sth,"# (informal) longman: to have the opportunity to do something 
– > We got to meet all the stars after the show.
– > She gets to travel all over the place with her job.
# Oxford: to reach the point at which you can feel, know, are, etc, something 
– > You will like her once you get to know her.
– > His drinking is getting to be a problem. 
– > She is getting to be an old lady now.
– ? She also got to use the pool when she was not working."
put sth up,"# to raise something or put it in a higher position 
– > to put up a flag
– > She put up information about her dog. She also put up a picture of her dog."
,
lesson 18,# from 69 to 72
,
start out,"# phrase verb: to begin happening or existing in a particular way
– > She decided to practice for the marathon. She started out with running 5 miles a day."
protein ,"# a natural substance found in meat, eggs, fish, some vegetables, etc
– > She also ate protein bars."
athletic ,"# physically strong, fit and active
– > She wore comfortable running shoes. She made sure to wear athletic clothes."
blackout,"# a period when there is no light as result of an electrical power failure 
– > It was a normal day. Suddenly all the lights went out. It was a blackout. "
due,"# adverb: exactly; in a straight line
– > to sail due east
– > He had a paper due tomorrow. "
distraction,"# a thing that take your attention away from what you are doing or thinking about
– > I find it hard to work at home because there are too many distractions."
flier ,"( flyer == flier )a person who flies an aircraft (usually a small one, not a passenger one)
# a small sheet of paper that advertise a product or an event and is given to a large number of people 
– > He saw a flier in the break room.  It was an announcement that they were looking for a new supervisor."
,
lesson 19,# from 73 to 76
,
affordable ,"# adjective:  affordable prices / houses
– > Tom was looking for something affordable and dependable. "
dependable,# that can be relied ( rely ) on to to do what you want or not | synonym: reliable 
rely,"# to need or depend on something/somebody
– > As babies were rely entirely on others for food."
figure sth/sb out,"# to think about something/somebody until you understand them/ it
– > Now he had to figure out the price."
themed,"# ( of a event or a place of entertainment ) designed to reflect a particular subject or period of history 
– > The party was also pizza themed. "
dealer,"# a person whose business is buying and selling a particular product
– > an art / antique dealer 
– > The dealer gave him a good price."
arcade ,# a covered passage with arches along the side of a row of building 
arch,"# noun: a curved structure that supports the weight of something above it, such as a bridge or the upper part of a building 
– > a bridge with three arches "
palace,"# the official house of a king, queen, president, etc
# a large impressive house or hotel
– > She decided to have it (=party) at a pizza place. She chose Pizza Palace.
– > Pizza Palace also had an arcade."
fantasy,"# pleasant situation that you imagine but that is unlikely to happen 
# the act of imagining things; a person’s imagination 
– > Stop living in fantasy world!
– > Alan’s favorite types of books are fantasy books."
,
lesson 20,# from 77 to 80
,
homesick,"# sad because you are away form home and miss your family and friends.
– > I felt homesick for Scotland.
– > Hugo had a great time. He did get a little homesick"
do auxiliary ,"# 4. used when no other auxiliary verb is present, to emphasize what you are saying
– > He does look tired.
– > She did at least write to say thank you.
– > Do shut up!
# also 5
# used to change the other of subject and verb when an adverb is moved to the front
– > Not only does she speck Spanish, she is also good with computers.
– > Not only do you can use this regular expression in Python, you can also use it in Perl."
reward,"# to give something to somebody because they have done something good, worked hard, etc 
– > They had a free pretzel day to reward all the workers.
– > She was rewarded for her efforts with cash bonus."
bonus,"# an extra amount of money that is added to a payment, especially to someone’s pay as a reward. 
– > a $100 Christmas bonus"
topping,"# [C]( toppings ) a layer of food that you put on top of a dish, cake, etc. to add flavor to make it look nice
– > baked vegetables with a cheese topping
– > They also had toppings. You could add chocolate. You could also add almonds and icing."
almond,"# a flat pale sweet nut of the almond tree used in cooking and making almond oil
– > ground almonds 
– > blanched almond (= with their skin removed)
"
pale,"# adjective: ( paler, palest ) 1.( of person, their face, etc. ) having skin that is almost white;
# having skin that is whiter than usual because of illness, a strong emotion, etc.
– > a pale complexion 
– > pale with fear
– > to go / turn pale
– > You look pale. Are you OK?"
motivate ,"# verb: to be the reason why someone does something or behaves in a particular way
– > He is motivated entirely by self-interest. 
– > She is very good at motivating her students. 
– > The plan is designed to motivate employees to work more efficiently."
motivated,"# adjective: 
– > a racially motivated attack
– > a highly motivated student (= one who is very interested and works hard)
– > the pretzels made everyone motivated to work."
motivation,"– > What is the motivation behind this sudden change?
– > Most people said that pay was their main motivation for working. "
motive,"# noun and adjective ( for something ) a reason for doing something
– > There seemed to be no motive for the murder. "
energize ,"# to make somebody enthusiastic about something 
– > After the pretzel, everyone was energized. "
enthusiastic ,"# feeling or showing a lot of excitement and interest about something/somebody
– > an enthusiastic welcome "
overbite,"# a condition in which a person or an animal’s upper jaw is too froward in relation to their lower jaw
– > She was a fifth-grader when she got braces to correct an overbite and gap between her two front teeth.
– > Paul had an overbite"
jaw,"# either of the two bones at the bottom of the face that contain the teeth and move when you talk o r eat
– > the bottom / lower jaw
– > the top / upper jaw"
orthodontist,# a dentist who treats problems concerning the position of the teeth and jaws 
,
WEEK 5,"# LESSON 21,22,23,24,25"
lesson 21,# from 81 to 84
,
sign in/out,"# to write your/somebody’s name when you arrive at or leave an office, a club, etc
– > All visitors must sing in on arrival. 
– > You must sign guests out when they leave the club.
– > She arrived at the dentist, and signed in. They called her name."
hose,"# ( also hosepipe ) a long tube made of a rubber, plastic, etc used for putting water onto fires, gardens, etc
– > a garden hose
– > She turned on the hose. She started to wash the dog."
bath,"# verb: (also North-America: bathe) ~ somebody to give a bath to somebody
# or have a bath
– > It is your turn to bath the baby.
– > She hated giving the dog baths."
settle,"# { end ab argument } to put an end to an argument or a disagreement
– > I want this thing settled. 
– > It is time you settled your differences with your father.
– > He thought about places he could volunteer, the library, the hospital, the animal shelter. 
– > He finally settled on the animal shelter."
assist,"# AW. to help somebody to do something 
– > Anyone willing to assist can contact this number
– > We are looking for people who would be willing to assist in the group’s work.
– > He assisted people who wanted to adopt animals."
adopt,"# to take somebody else’s child into your family and become its legal parent( s )
– > to adopt a child"
,
lesson 22,# from 85 to 88
,
pearl,"# a small hard shiny white ball that forms inside the shell of an oyster and is of great value on a jewel 
– > She bought a pearl necklace."
frosting,"# ( North America: icing ) a sweet mixture of sugar and water, milk, butter, or egg white that is used to cover and decorate cakes 
– > The cake says: “Happy Mother’s Day.” It was decorated with frosting and fruit."
day off,"# ( days off ) a day on which you do not have to work
– > Most weeks, Sunday is my only day off
– > It was Sunday. Judy’s dad had a day off work today."
off day,"# a day when you do not do thing as well as usual 
– > Even the best players sometimes have an off day."
shack,"# noun: a small building, usually made of wood or metal that has not been built well
– > After swimming, they decided to eat. They went to a nearby shack."
taco,# a type of Mexican food
bologna ,"# a type of sausage that is put in sandwich, made of a mixture of meats 
– > She also added different types of meat. She had bolognese, ham, and bacon."
cilantro ,"# the leaves of the coriander plant, used in cooking as a herb"
spinach ,"# a vegetable with a large dark green leaves that are cooked or eating in salads 
– > She added lettuce, tomatoes, spinach and cilantro."
,
lesson 23,# from 89 to 92
,
renaissance ,"# ( the Renaissance ) the period in Europe during the 14th ,15th, 16th centuries when people became interesting the ideas and culture of ancient Greece and Rome and …
– > The first thing they looked at, was Renaissance art."
artwork,"# photographs and pictures prepared for books, magazines, etc
# a work of art,especially one in a museum.
– > The admired all the artwork."
satisfy,"# ( not used in the progressive tenses ) to make somebody pleased by doing or giving them what they want
– > Nothing satisfies him – he is always complaining. "
satisfying,"# adjective: giving pleasure because it provides something you need or want
– > a satisfying meal
– > She thought they were more organic that way. The would also be more satisfying to eat."
mango,"# a tropical fruit with smooth yellow or red skin, soft orange flesh and a large seed inside 
– > This time she was growing mangoes.
– > She awaited her tasty mangoes."
strip,"# { a long, narrow piece } a long narrow piece of paper, metal, cloth, etc
– > She looked down. It was a wallet. It was black. There were strips on it."
,
lesson 24,# from 93 to 96
,
maid again,# a female servant in a hotel or house  – > There is a maid to the housework.  – > He yells at his maid.
maid of honor,"# a young woman or girl who is not married and who is the main bridesmaid at a wedding 
– > She was scared that things would go wrong at the last minute. Her maid of honor was her sister, who made sure everything was ready."
bridesmaid ,# a young woman or girl who help bride before and during the marriage ceremony.
flower girl,# (US) a very young girl who walks behind the bride at the wedding and holds flowers or throws flowers 
ring bearer,"# a person usually a boy, who carries the ring for bride and groom at a wedding
– > She prepared the flower girl and the ring bearer."
prom,"# a formal dance especially one that is held at a high school
– > the senior prom
– > Jane’s prom was comping up. She already bought her dress."
sequin,"# a small round shiny disc sewn onto clothing as decoration 
– > a dress covered in gold sequins
– > It was a long purple dress with sequins."
bold,"# think, dark type used for printing words or letters
– > Headwords are printed in bold.
# 1. brave and confident 
# 2. that can be easily seen
– > She wanted something bold. She wanted it to stand out."
stud,"# a small piece of jewelry with a part that is pushed through a hole in your ear, nose, etc
– > She got small flower studs for earrings and bracelet with a flower diamond charm. "
bike,"# ( informal ) to go somewhere on a bicycle or a motorcycle 
– > My dad bikes to work every day.
– > He loved hiking and biking."
waiver,"# a situation in which somebody gives up a legal right or claim; an official document stating this
– > They had to sign a waiver first. Then then got their harnesses."
master,"# to learn or understand something completely
– > After they mastered that, they moved on to the larger wall."
,
lesson 25,# from 97 to 100
,
defeat,"# ~ somebody / something … to win against somebody in war, competition, sports, game, etc. synonym: beat
– > He defeated the champion in three sets. 
– > a defeated army "
undefeated,"# ( especially in sports ) not having lost or been defeated 
– > They are undefeated in 13 games.
– > The team they were playing against was known to be good, and had been undefeated so far."
pump,"# to make water, gas, air, etc. flow in a particular direction by using a pump or something that works like a pump
# pump up: to make somebody feel more excited or determined 
– > Jessie felt pumped up and ready for the game."
gain again,"# to obtain or win something, especially something that you want or need
# 3. { get more } to gradually get more of something
– > to gain confident / strength / experience 
– > I have gained weight recently.
– > He was scared. What if he gained weight?
– > She wanted to work there in order to gain experience."
usher,"# noun: a person who show people where to sit in church, public hall, etc
# verb: to take or show somebody where they should go
– > The secretary ushered me into his office.
– > Sometimes Michelle works as an usher, which meant she had to clean the theaters."
,
the end of ,English Level Four
