Lesson 01,# From 01 - 12,
slimy,"# like or covered with slime
– Thick slimy mud.
– He sees something. It is small and slimy. It is a lizard!",
carnival,"#  a public festival usually one that happens on a regular time each year, that involves music and dancing in the street for which people wear brightly colored clothes. Synonym: fair
– She goes to the carnival. 
– There is a local carnival every year.",
lace,"# a delicate material made from threads of cotton, silk, etc that are twisted into a pattern of holes.
# ( also shoelace
– You lace are undone.
– She has two pairs of high heels. One of them has laces. The other one has a zipper.",
delicate,# 1. easily damaged or broken.  Synonym: fragile. ( that means: As the same as delicate. ),
,,
Lesson 11,# form 85 to 90,
,,
hoop,"# a large ring of plastic, wood or iron.
– Robert if far form the hoop.
# the ring that players throw the ball through in the game of basketball in order to score pointes.
– Australia finished 20 points ahead. ",
back and froth,"# idiom. Form one place to another and back again repeatedly.
– The ball keeps going back and forth.",
and so forth,# used to the end of a list to show that it continues in the same way.,
"serve ,n","# only uses in tennis game. The action of serving the ball to your opponent.
– Laura wants to practices her serves.",
duty,"# something that you feel you have to do because it is your moral or legal responsibility. 
– A waitress at duty",
wig,"# pieces of artificial hair that is worn on the head, for example to hide the face that a person is bald, or to cover someone’s own hair.
– Clowns wear colorful wigs.",
"balloon ,v","# to suddenly swell out or get bigger ( swell: to became bigger and rounder.)
– Clowns make balloon animals.",
sailor,"# a person who works on a ship as a member of crew
# a person who sails a boat. ( sail ,v: to travel on water using sail )",
"Row 1,v","# to move a boat through water using oars. 
– He rows the boat",
oar,# a large pole with a flat blade at one end that is used for rowing a boat.,
"Row 2,v",# to have a noisy argument. ,
,,
Lesson 12,# form 91 to 96,
,,
facile ,"# produced without effort, careful thought Synonym: glib
– She wants to know what “facile” means.",
look sth up,"# to look for information in dictionary
– She looks up other difficult words",
ghost,"# the spirit of a dead person that a living person believes that can see or hear.
– Do you believe in ghosts? (= believe that they exist?)
– He is scared of the dark. What if a ghost attacks him?",
open up,"# open a containers, presents, etc
– Betty opens up her present.",
globe,"# an object shaped like a ball with a map of the world on its surface, usually on a stand so that it can be turned.
# a thing shaped like a ball.
– She looks inside the globe. It is Santa Claus!",
glitter,"# to shine brightly with little flushed of light like a diamond. Synonym: sparkle
– She shakes it. Glitter falls down.",
"glitter ,n","# bright light consisting of many little flushes.
# 4. very small shiny pieces of thin material of paper that are stuck to things as a decoration. ",
creative ,"# involving the use of skill and imagination to produce something new or a work of art.
– Creative thinking. (= thinking about problems in a new way or thinking of new ideas)
– In the beach, you can make sandcastles. Show your creativity!",
surf,"# riding on a wave of the beach.
– You can surf in the water.",
,,
Lesson 13,# form 96 to 104,
,,
oven,"# a part of a stove shaped like a box with  a door on the front, in which food is cooked or heated.
– The oven makes a sound. The apple pie must be ready.",
band,"# noun. { group of  musician } a small group of  musician who play popular music together, often with a singer or signers.
– Her favorite band is on stage.",
strum,"# ( strumming, strummed ) to play a guitar or similar instrument by moving your finger up and down across the strings.
– As she sang, she strummed on a guitar. 
– The guitarist starts strumming.",
save up,"# to keep money instead of spending it
– She wants to buy a new laptop. She save up to buy the laptop.",
,,
the end of ,the English Level 1,
